phi,theta,psi
-0.208227412660494,0.879610810861525,0.0808873852098233
-0.208227412584579,0.879006019222643,0.0808873850565393
-0.208227412455021,0.878418013883079,0.0808873848599239
-0.208227412265547,0.877853741180537,0.08088738462167
-0.208227412009882,0.877320147452719,0.0808873843434719
-0.20822741168181,0.876824101407481,0.0808873840270228
-0.208227411284061,0.876368731060895,0.0808873836745325
-0.208227410837784,0.875951839940974,0.0808873832956949
-0.208227410366396,0.875570824757963,0.080887382905851
-0.208227409893315,0.875223082222105,0.0808873825204803
-0.208227409441957,0.874906009043645,0.0808873821550633
-0.208227409035743,0.874617001932828,0.0808873818250795
-0.208227408698087,0.874353457599898,0.0808873815460085
-0.208227408452409,0.874112772755098,0.0808873813333304
-0.208227408322126,0.873892344108675,0.0808873812025246
-0.208227408330657,0.873689568370871,0.0808873811690716
-0.208227408501417,0.873501842251932,0.080887381248451
-0.208227408857825,0.873326562462101,0.0808873814561417
-0.208227409423299,0.873161125711624,0.0808873818076248
-0.208227410221256,0.873002928710744,0.0808873823183793
-0.208227411275114,0.872849368169705,0.0808873830038854
-0.208227412604146,0.872697804720964,0.0808873838796222
-0.20822741416746,0.872545278851116,0.0808873849484144
-0.208227415878776,0.872388663568311,0.0808873861603705
-0.208227417650698,0.872224830415907,0.0808873874518778
-0.208227419395829,0.872050650937263,0.0808873887593238
-0.208227421026774,0.871862996675738,0.0808873900190956
-0.208227422456137,0.87165873917469,0.08088739116758
-0.208227423596523,0.871434749977479,0.080887392141165
-0.208227424360534,0.871187900627463,0.080887392876237
-0.208227424660776,0.870915062668001,0.0808873933091836
-0.208227424409853,0.870613107642451,0.0808873933763918
-0.208227423520368,0.870278907094173,0.0808873930142489
-0.208227421904926,0.869909332566525,0.080887392159142
-0.20822741947613,0.869501255602865,0.0808873907474583
-0.208227416146586,0.869051547746554,0.080887388715585
-0.208227411828897,0.868557084159497,0.0808873859999093
-0.208227406501844,0.868017475919689,0.080887382539278
-0.208227400419844,0.867439935395347,0.0808873783910644
-0.208227393909061,0.86683298442483,0.0808873737813478
-0.208227387295661,0.866205144846498,0.0808873689491019
-0.208227380905809,0.86556493849871,0.0808873641332968
-0.208227375065674,0.864920887219827,0.0808873595729036
-0.208227370101418,0.864281512848208,0.080887355506895
-0.208227366339209,0.863655337222212,0.0808873521742417
-0.208227364105213,0.8630508821802,0.0808873498139151
-0.208227363725595,0.86247666956053,0.0808873486648869
-0.208227365526521,0.861941221201564,0.0808873489661286
-0.208227369834157,0.861453058941659,0.0808873509566117
-0.208227376974668,0.861020704619176,0.0808873548753073
